city,latitude,longitude,name,zip,state
Spokane,47.673976,-117.206394,Taco Time,99216,WA
Jefferson City,38.59259,-92.2254,SONIC Drive In,65109,MO
Jefferson City,38.58068,-92.2352,McDonald's,65109,MO
Oxford,34.36729,-89.54978,Coop DeVille,38655,MS
Sidney,41.138,-102.98557,McDonalds,69162,NE
Auburn,40.39457,-95.83913,Amigos/Kings Classic,68305,NE
Garden City,40.725253,-73.634393,B. Good,11530,NY
Shepherdsville,37.9978,-85.70737,Domino's Pizza,40165,KY
Glasgow,37.0082,-85.92208,McDonald's,42141,KY
Alexandria,31.27267,-92.48395,Sonic Drive-In,71303,LA
Somerset,37.09224,-84.61883,McDonald's,42501,KY
Albuquerque,35.085335,-106.60555,Domino's Pizza,87105,NM
Owensboro,37.723743,-87.123894,McDonald's,42301,KY
Kenner,30.02306,-90.26933,Burger King,70065,LA
Houma,29.63346,-90.75858,Sonic Drive-In,70360,LA
Albuquerque,35.17351,-106.49703,Domino's Pizza,87122,NM
Madison,38.77544,-85.39367,Rally's,47250,IN
Houma,29.58875,-90.74346,Taco Bell,70360,LA
Farmerville,32.7715,-92.39699,Taco Bell,71241,LA
Westwego,29.89708,-90.14081,Pizza Hut,70094,LA
Baton Rouge,30.44345,-91.17915,Sonic Drive-In,70802,LA
Cleveland,33.75489,-90.71678,Back Yard Burgers,38732,MS
Cleveland,33.74364,-90.71593,McDonald's,38732,MS
Camp Lejeune,34.72418,-77.34444,Wendy's,28547,NC
Duluth,46.78937,-92.09841,Domino's Pizza,55805,MN
Fort Stewart,31.8613,-81.61078,Burger King,31314,GA
Northport,33.236442,-87.576869,Sonic Drive-In,35476,AL
Coralville,41.68432,-91.60353,Domino's Pizza,52241,IA
Hartselle,34.439438,-86.940455,Taco Bell,35640,AL
Elizabeth City,36.29457,-76.23925,Domino's Pizza,27909,NC
Swansboro,34.69765,-77.14086,McDonalds,28584,NC
Sutton,38.70084,-80.664158,Arby's,26601,WV
Burlington,44.47568,-73.21264,Pacific Rim,5401,VT
Bay City,28.9826,-95.94636,Taco Bell,77414,TX
Columbia,34.13885,-80.95378,Panda Express,29203,SC
Ames,42.02193,-93.65164,Domino's Pizza,50014,IA
Laurinburg,34.760626,-79.487148,Taco Bell,28352,NC
Valdosta,30.84377,-83.32041,Chick-fil-A,31601,GA
Batesburg,33.903931,-81.545787,Hardee's,29006,SC
North Charleston,32.87129,-80.02056,Domino's Pizza,29418,SC
Ottumwa,41.04905,-92.41165,McDonald's,52501,IA
Mexia,31.68468,-96.47389,McDonald's,76667,TX
Baton Rouge,30.44529,-91.13715,Captain D's,70806,LA
Corpus Christi,27.85699,-97.63067,Whataburger,78410,TX
Angleton,29.165887,-95.422475,Jack in the Box,77515,TX
Natchitoches,31.75324,-93.10647,Sonic Drive-In,71457,LA
Tillamook,45.486681,-123.845556,McDonald's,97141,OR
